pos	sentiment
660	66.6666666667
661	-100.0
662	0.0
663	100.0
664	100.0
665	100.0
666	50.0
667	50.0
668	100.0
669	0.0
670	100.0
671	-20.0
672	100.0
673	100.0
674	100.0
675	-100.0
676	100.0
677	100.0
678	100.0
679	100.0
680	100.0
681	-33.3333333333
682	100.0
683	100.0
684	0.0
685	-100.0
686	-100.0
687	0.0
688	0.0
689	100.0
690	0.0
691	-100.0
692	-100.0
693	0.0
694	100.0
695	50.0
696	100.0
697	-100.0
698	100.0
699	60.0
700	-100.0
701	0.0
702	100.0
703	100.0
704	33.3333333333
705	60.0
706	33.3333333333
707	100.0
708	100.0
709	100.0
710	-100.0
711	100.0
712	-100.0
713	33.3333333333
714	-100.0
715	0.0
716	100.0
717	-100.0
718	100.0
719	100.0
720	100.0
721	100.0
722	100.0
723	-100.0
724	-100.0
725	100.0
726	100.0
727	100.0
728	100.0
729	100.0
730	100.0
731	100.0
732	100.0
733	100.0
734	100.0
735	100.0
736	100.0
737	100.0
738	100.0
739	100.0
740	100.0
741	100.0
742	33.3333333333
743	33.3333333333
744	-14.2857142857
745	100.0
746	100.0
747	-100.0
748	-100.0
749	-100.0
750	-20.0
751	100.0
752	-33.3333333333
753	-100.0
754	60.0
755	-100.0
756	50.0
757	-100.0
758	100.0
759	66.6666666667
760	33.3333333333
761	60.0
762	33.3333333333
763	100.0
764	100.0
765	100.0
766	-100.0
767	100.0
768	-7.69230769231
769	0.0
770	0.0
771	100.0
772	100.0
773	100.0
774	100.0
775	100.0
776	100.0
777	33.3333333333
778	-100.0
779	100.0
780	60.0
781	100.0
782	100.0
783	100.0
784	0.0
785	0.0
786	50.0
787	-100.0
788	33.3333333333
789	100.0
790	-33.3333333333
791	50.0
792	-11.1111111111
793	14.2857142857
794	0.0
795	63.6363636364
796	-25.0
797	42.8571428571
798	-25.0
799	33.3333333333
800	-14.2857142857
801	-25.0
802	100.0
803	-100.0
804	-100.0
805	100.0
806	100.0
807	-33.3333333333
808	100.0
809	-100.0
810	60.0
811	-42.8571428571
812	20.0
813	14.2857142857
814	-66.6666666667
815	20.0
816	14.2857142857
817	-66.6666666667
818	0.0
819	100.0
820	-45.4545454545
821	-20.0
822	14.2857142857
823	-9.09090909091
824	100.0
825	100.0
826	0.0
827	0.0
828	-100.0
829	100.0
830	-50.0
831	-33.3333333333
832	100.0
833	-33.3333333333
834	100.0
835	-100.0
836	100.0
837	-33.3333333333
838	0.0
839	100.0
840	100.0
841	33.3333333333
842	33.3333333333
843	-100.0
844	100.0
845	0.0
846	27.2727272727
847	33.3333333333
848	100.0
849	100.0
850	0.0
851	-33.3333333333
852	33.3333333333
853	20.0
854	100.0
855	100.0
856	100.0
857	50.0
858	100.0
859	-100.0
860	100.0
861	100.0
862	100.0
863	-20.0
864	0.0
865	-33.3333333333
866	100.0
867	-100.0
868	100.0
869	100.0
870	100.0
871	100.0
872	100.0
873	100.0
874	-100.0
875	100.0
876	33.3333333333
877	100.0
878	50.0
879	100.0
880	100.0
881	71.4285714286
882	33.3333333333
883	-100.0
884	100.0
885	100.0
886	100.0
887	14.2857142857
888	100.0
889	100.0
890	100.0
891	100.0
892	100.0
893	100.0
894	50.0
895	100.0
896	100.0
897	33.3333333333
898	50.0
899	100.0
900	100.0
901	-33.3333333333
902	33.3333333333
903	-33.3333333333
904	33.3333333333
905	20.0
906	0.0
907	50.0
908	-100.0
909	-100.0
910	100.0
911	-33.3333333333
912	-100.0
913	100.0
914	-100.0
915	100.0
916	100.0
917	100.0
918	71.4285714286
919	100.0
920	100.0
921	100.0
922	100.0
923	-33.3333333333
924	-100.0
925	100.0
926	0.0
927	27.2727272727
928	-100.0
929	0.0
930	100.0
931	60.0
932	50.0
933	100.0
934	-100.0
935	-100.0
936	100.0
937	-100.0
938	33.3333333333
939	-100.0
940	0.0
941	-100.0
942	100.0
943	-100.0
944	-100.0
945	-25.0
946	-55.5555555556
947	0.0
948	100.0
949	60.0
950	-33.3333333333
951	20.0
952	-60.0
953	-25.0
954	-100.0
955	-100.0
956	33.3333333333
957	-66.6666666667
958	-100.0
959	33.3333333333
960	100.0
961	-100.0
962	-100.0
963	100.0
964	100.0
965	50.0
966	-33.3333333333
967	100.0
968	-20.0
969	-14.2857142857
970	-14.2857142857
971	-25.0
972	20.0
973	-27.2727272727
974	50.0
975	0.0
976	-14.2857142857
977	-100.0
978	33.3333333333
979	50.0
980	66.6666666667
981	60.0
982	-11.1111111111
983	-11.1111111111
984	80.0
985	-33.3333333333
986	100.0
987	-60.0
988	-25.0
989	50.0
990	66.6666666667
991	100.0
992	-100.0
993	100.0
994	-100.0
995	0.0
996	100.0
997	60.0
998	-14.2857142857
999	-9.09090909091
1000	-50.0
1001	23.0769230769
1002	0.0
1003	-33.3333333333
1004	11.1111111111
1005	-100.0
1006	33.3333333333
1007	50.0
1008	25.0
1009	0.0
1010	100.0
1011	-50.0
1012	0.0
1013	-50.0
1014	-100.0
1015	20.0
1016	-25.0
1017	-50.0
1018	-38.4615384615
1019	-14.2857142857
1020	60.0
1021	20.0
1022	0.0
1023	100.0
1024	100.0
1025	33.3333333333
1026	-100.0
1027	60.0
1028	33.3333333333
1029	0.0
1030	-100.0
1031	100.0
1032	50.0
1033	33.3333333333
1034	-100.0
1035	100.0
1036	-100.0
1037	33.3333333333
1038	0.0
1039	33.3333333333
1040	100.0
1041	-100.0
1042	100.0
1043	100.0
1044	-100.0
1045	-100.0
1046	0.0
1047	0.0
1048	20.0
1049	0.0
1050	100.0
1051	0.0
1052	0.0
1053	60.0
1054	-7.69230769231
1055	-100.0
1056	71.4285714286
1057	-100.0
1058	100.0
1059	-50.0
1060	-20.0
1061	11.1111111111
1062	0.0
1063	25.0
1064	20.0
1065	14.2857142857
1066	60.0
1067	-14.2857142857
1068	14.2857142857
1069	-100.0
1070	-66.6666666667
1071	100.0
1072	100.0
1073	-100.0
1074	0.0
1075	55.5555555556
1076	33.3333333333
1077	71.4285714286
1078	100.0
1079	-33.3333333333
1080	-50.0
1081	20.0
1082	-60.0
1083	60.0
1084	-100.0
1085	100.0
1086	100.0
1087	60.0
1088	100.0
1089	33.3333333333
1090	50.0
1091	-100.0
1092	0.0
1093	-20.0
1094	50.0
1095	-33.3333333333
