Beaver	165.070437799
she-wolf	163.153004794
Weedon	162.844845918
Lip-lip	162.776366168
snarl	162.673646543
Eye	162.639406668
Kiche	162.536687042
snarling	162.365487667
snarled	162.331247792
Cherokee	162.160048416
lynx	162.160048416
dog-musher	162.023088916
man-animals	161.954609166
Mit-sah	161.920369291
bristled	161.886129416
ptarmigan	161.886129416
Collie	161.817649666
Ear	161.78340979
crouched	161.749169915
Mackenzie	161.71493004
trotted	161.680690165
love-master	161.57797054
tepee	161.57797054
thong	161.57797054
whimpering	161.57797054
'em	161.543730665
bull-dog	161.543730665
Yukon	161.50949079
Baseek	161.475250915
aroused	161.475250915
Northland	161.44101104
Vista	161.44101104
haunches	161.44101104
spruce	161.44101104
squirrel	161.44101104
jes	161.406771164
puppyhood	161.406771164
tepees	161.406771164
wistfulness	161.406771164
Keenan	161.372531289
Kloo-kooch	161.372531289
Southland	161.372531289
o'clock	161.372531289
stiff-legged	161.372531289
wisht	161.372531289
Fang's	161.338291414
bitten	161.338291414
cowered	161.338291414
cuff	161.338291414
full-grown	161.338291414
sniffed	161.338291414
whimpered	161.338291414
yelp	161.338291414
yelped	161.338291414
'ye	161.304051539
Ai	161.304051539
McGurry	161.304051539
cartridges	161.304051539
faro-dealer	161.304051539
flattened	161.304051539
ki-yi	161.304051539
meat-trail	161.304051539
morose	161.304051539
ominously	161.304051539
patting	161.304051539
raged	161.304051539
rages	161.304051539
unending	161.304051539
yelps	161.304051539
Dawson	161.269811664
Eagles	161.269811664
Fatty	161.269811664
Klondike	161.269811664
Spanker	161.269811664
an'	161.269811664
brands	161.269811664
bushes	161.269811664
cubhood	161.269811664
fibre	161.269811664
gang-plank	161.269811664
hind-legs	161.269811664
man-animal	161.269811664
mastiff	161.269811664
overtures	161.269811664
overturned	161.269811664
part-grown	161.269811664
shin-bone	161.269811664
sled-dog	161.269811664
squaws	161.269811664
threateningly	161.269811664
unrest	161.269811664
wagging	161.269811664
whimper	161.269811664
wolf-pack	161.269811664
Frog	161.235571789
I'm	161.235571789
Wo	161.235571789
barked	161.235571789
bets	161.235571789
chicks	161.235571789
commented	161.235571789
cornered	161.235571789
crooning	161.235571789
epitaph	161.235571789
fealty	161.235571789
ferociously	161.235571789
fluttered	161.235571789
helplessness	161.235571789
hind-quarters	161.235571789
hound	161.235571789
inequalities	161.235571789
intimidating	161.235571789
lordship	161.235571789
man-	161.235571789
master's	161.235571789
moccasins	161.235571789
moose-bird	161.235571789
more'n	161.235571789
nudge	161.235571789
one-eyed	161.235571789
proffered	161.235571789
quickness	161.235571789
romp	161.235571789
self-consciousness	161.235571789
sidewise	161.235571789
sled-dogs	161.235571789
sleds	161.235571789
slinking	161.235571789
snuggle	161.235571789
snuggling	161.235571789
squirrels	161.235571789
stinging	161.235571789
swifter	161.235571789
team-mates	161.235571789
three-year-old	161.235571789
well-nigh	161.235571789
whined	161.235571789
wrathful	161.235571789
yelping	161.235571789
Beaver's	161.201331914
Denied	161.201331914
Factor	161.201331914
Forgotten	161.201331914
Porcupine	161.201331914
TRAIL	161.201331914
_like_	161.201331914
_love_	161.201331914
_was_	161.201331914
a-thinkin	161.201331914
adept	161.201331914
agreein	161.201331914
apprehensively	161.201331914
ardours	161.201331914
back-pasture	161.201331914
botherin	161.201331914
bristle	161.201331914
clamoured	161.201331914
clipping	161.201331914
collided	161.201331914
cribbage	161.201331914
culmination	161.201331914
defiant	161.201331914
demonstrative	161.201331914
ebbed	161.201331914
effortless	161.201331914
ever-menacing	161.201331914
feedin	161.201331914
fore-paws	161.201331914
forsooth	161.201331914
good-naturedly	161.201331914
inspected	161.201331914
lured	161.201331914
marauder	161.201331914
mother-weasel	161.201331914
motherhood	161.201331914
newcomers	161.201331914
oncoming	161.201331914
perpetrated	161.201331914
petting	161.201331914
plasticity	161.201331914
pounced	161.201331914
precipitately	161.201331914
prodded	161.201331914
puppy-pack	161.201331914
runners	161.201331914
she-	161.201331914
sheep-dog	161.201331914
sheltering	161.201331914
snares	161.201331914
snow-surface	161.201331914
snowshoe	161.201331914
somethin	161.201331914
spitting	161.201331914
squabbling	161.201331914
squat	161.201331914
stables	161.201331914
steel-like	161.201331914
sterner	161.201331914
tenacity	161.201331914
underbrush	161.201331914
unguessed	161.201331914
whine	161.201331914
whining	161.201331914
wolf-cub	161.201331914
wrathfully	161.201331914
'a	161.167092039
Bit	161.167092039
Bound	161.167092039
Chance	161.167092039
Danger	161.167092039
Daylight	161.167092039
Eat	161.167092039
He's	161.167092039
Jose	161.167092039
KIND	161.167092039
MEAT	161.167092039
Maud	161.167092039
Meat	161.167092039
Mebbe	161.167092039
Mit-	161.167092039
Nothin	161.167092039
Ol	161.167092039
Quentin	161.167092039
Rockies	161.167092039
Salmon	161.167092039
Served	161.167092039
Six	161.167092039
Smith's	161.167092039
Sour-doughs	161.167092039
Tongue	161.167092039
Trotting	161.167092039
Understand	161.167092039
Villan	161.167092039
_Aurora_	161.167092039
accompaniment	161.167092039
all-fired	161.167092039
all-powerful	161.167092039
ammunition	161.167092039
armour	161.167092039
astounded	161.167092039
awe-stricken	161.167092039
back-wall	161.167092039
bared	161.167092039
battling	161.167092039
beatings	161.167092039
bedlam	161.167092039
bellowed	161.167092039
bellying	161.167092039
birch-bark	161.167092039
blood-curdling	161.167092039
bloodhounds	161.167092039
bullet	161.167092039
bullying	161.167092039
burrows	161.167092039
cabin-stoop	161.167092039
camp-dogs	161.167092039
camp-sounds	161.167092039
camped	161.167092039
campfire	161.167092039
cariboo-gut	161.167092039
cat-like	161.167092039
